"시도별","경제활동별",2024 p),2024 p),2024 p)
"세종특별자치시","협회 및 단체, 수리 및 기타 개인 서비스업",164589,133853,0.03
"경기도","지역내총생산(시장가격)",651417234,597825993,3.55
"경기도","순생산물세",39195077,35282399,0.04
"경기도","총부가가치(기초가격)",612222157,562810623,3.51
"경기도","농업, 임업 및 어업",3032599,2905281,0.00
"경기도","광제조업",239108537,231783008,3.02
"경기도","광업",303617,224480,-0.01
"경기도","제조업",238804920,231591637,3.04
"경기도","음식료품 및 담배제조업",8483618,7743779,0.07
"경기도","섬유 의복 및 가죽 제품 제조업",3789144,3290749,0.00
"경기도","목재종이인쇄 및 복제업",6262699,5271947,0.01
"경기도","석탄 및 석유 화학제품 제조업",24574075,22930727,0.12
"경기도","비금속광물 및 금속제품 제조업",23245492,13822064,0.00
"경기도","전기 전자 및 정밀기기 제조업",127595479,141860175,2.64
"경기도","기계 운송장비 및 기타 제품 제조업",44854413,41048154,0.19
"경기도","전기, 가스, 증기 및 공기 조절 공급업",8669230,6379501,-0.01
"경기도","건설업",34537805,29725667,-0.46
"경기도","서비스업",326873986,294416429,0.96
"경기도","도매 및 소매업",47218833,40743574,-0.04
"경기도","운수 및 창고업",23061440,24108181,0.45
"경기도","숙박 및 음식점업",14395198,10886075,-0.05
"경기도","정보통신업",31683698,28182748,0.17
"경기도","금융 및 보험업",21408423,19268424,0.06
"경기도","부동산업",44279037,43535821,0.08
"경기도","사업서비스업",39545856,33247466,-0.17
"경기도","전문, 과학 및 기술 서비스업",21795557,17602334,-0.16
"경기도","사업시설 관리, 사업 지원 및 임대 서비스업",17750299,15664286,-0.01
"경기도","공공 행정, 국방 및 사회보장 행정",30011489,26424349,0.10
"경기도","교육 서비스업",23295314,21486839,0.07
"경기도","보건업 및 사회복지 서비스업",31970332,29889220,0.30
"경기도","문화 및 기타서비스업",20004366,17402965,0.00
"경기도","수도, 하수 및 폐기물 처리, 원료 재생업",4241018,4069313,0.00
"경기도","예술, 스포츠 및 여가관련 서비스",7854870,6977442,-0.01
"경기도","협회 및 단체, 수리 및 기타 개인 서비스업",7908478,6353802,0.01
"강원특별자치도","지역내총생산(시장가격)",64615611,56169890,-0.39
"강원특별자치도","순생산물세",4710364,3600820,-0.23
"강원특별자치도","총부가가치(기초가격)",59905247,52615153,-0.15
"강원특별자치도","농업, 임업 및 어업",2625981,2322455,-0.09
"강원특별자치도","광제조업",6466807,5720800,-0.40
"강원특별자치도","광업",815463,633581,-0.16
"강원특별자치도","제조업",5651344,5083493,-0.24
"강원특별자치도","음식료품 및 담배제조업",1422335,1335933,-0.06
"강원특별자치도","섬유 의복 및 가죽 제품 제조업",41922,36642,-0.01
"강원특별자치도","목재종이인쇄 및 복제업",115932,92238,0.00
"강원특별자치도","석탄 및 석유 화학제품 제조업",966685,989089,0.04
"강원특별자치도","비금속광물 및 금속제품 제조업",1462027,1034427,-0.11
"강원특별자치도","전기 전자 및 정밀기기 제조업",831343,877738,-0.03
"강원특별자치도","기계 운송장비 및 기타 제품 제조업",811100,738270,-0.08
"강원특별자치도","전기, 가스, 증기 및 공기 조절 공급업",1778003,1136696,-0.34
"강원특별자치도","건설업",4690492,4003400,-0.16
"강원특별자치도","서비스업",44343964,39444301,0.83
"강원특별자치도","도매 및 소매업",3104516,2678784,-0.08
"강원특별자치도","운수 및 창고업",2441932,2389461,0.05
"강원특별자치도","숙박 및 음식점업",2857435,2197585,-0.14
"강원특별자치도","정보통신업",931501,955409,-0.04
"강원특별자치도","금융 및 보험업",2443858,2223172,0.06
"강원특별자치도","부동산업",3531415,3323227,0.19
"강원특별자치도","사업서비스업",3289124,2717052,0.14
"강원특별자치도","전문, 과학 및 기술 서비스업",1485948,1205201,-0.01
"강원특별자치도","사업시설 관리, 사업 지원 및 임대 서비스업",1803176,1522027,0.15
"강원특별자치도","공공 행정, 국방 및 사회보장 행정",14161005,12411101,0.28
"강원특별자치도","교육 서비스업",4430556,4060548,0.10
"강원특별자치도","보건업 및 사회복지 서비스업",4107838,3806343,0.25
"강원특별자치도","문화 및 기타서비스업",3044784,2669976,0.01
"강원특별자치도","수도, 하수 및 폐기물 처리, 원료 재생업",501389,476405,0.03
"강원특별자치도","예술, 스포츠 및 여가관련 서비스",1533822,1373879,-0.01
"강원특별자치도","협회 및 단체, 수리 및 기타 개인 서비스업",1009573,821986,-0.01
"충청북도","지역내총생산(시장가격)",91794456,81746448,-1.46
"충청북도","순생산물세",6080040,5285544,-0.02
"충청북도","총부가가치(기초가격)",85714416,76464724,-1.44
"충청북도","농업, 임업 및 어업",2229391,1977386,0.07
"충청북도","광제조업",38856674,34179164,-2.88
"충청북도","광업",229806,168692,-0.05
"충청북도","제조업",38626868,34013884,-2.83
"충청북도","음식료품 및 담배제조업",3909151,3575251,0.05
"충청북도","섬유 의복 및 가죽 제품 제조업",341034,297923,-0.01
"충청북도","목재종이인쇄 및 복제업",1022787,853210,0.01
"충청북도","석탄 및 석유 화학제품 제조업",8995883,8698242,0.12
"충청북도","비금속광물 및 금속제품 제조업",4691225,2967972,-0.13
"충청북도","전기 전자 및 정밀기기 제조업",13909590,12088989,-2.77
"충청북도","기계 운송장비 및 기타 제품 제조업",5757198,5293397,-0.09
"충청북도","전기, 가스, 증기 및 공기 조절 공급업",1117834,1067427,0.17
"충청북도","건설업",5423294,4654602,0.21
"충청북도","서비스업",38087223,34265582,0.98
"충청북도","도매 및 소매업",3383735,2919713,-0.01
"충청북도","운수 및 창고업",2779185,2950046,0.48
"충청북도","숙박 및 음식점업",1947577,1485531,-0.02
"충청북도","정보통신업",931309,966787,0.00
"충청북도","금융 및 보험업",2598051,2361506,0.05
"충청북도","부동산업",3856783,3607199,0.24
"충청북도","사업서비스업",4664846,3973030,-0.08
"충청북도","전문, 과학 및 기술 서비스업",2144978,1736941,-0.10
"충청북도","사업시설 관리, 사업 지원 및 임대 서비스업",2519868,2235158,0.02
"충청북도","공공 행정, 국방 및 사회보장 행정",7337773,6400702,0.18
"충청북도","교육 서비스업",4314824,3955905,0.04
"충청북도","보건업 및 사회복지 서비스업",3725695,3473151,0.17
"충청북도","문화 및 기타서비스업",2547445,2274963,-0.08
"충청북도","수도, 하수 및 폐기물 처리, 원료 재생업",865426,850059,-0.05
"충청북도","예술, 스포츠 및 여가관련 서비스",717856,639789,-0.02
"충청북도","협회 및 단체, 수리 및 기타 개인 서비스업",964163,781861,-0.01
"충청남도","지역내총생산(시장가격)",150681268,135065463,1.08
"충청남도","순생산물세",11919579,11217906,0.20
"충청남도","총부가가치(기초가격)",138761689,123849628,0.88
"충청남도","농업, 임업 및 어업",4200990,3834178,-0.14
"충청남도","광제조업",70959809,65474110,0.39
"충청남도","광업",156180,115423,-0.01
"충청남도","제조업",70803629,65357927,0.40
"충청남도","음식료품 및 담배제조업",3792308,3433646,0.13
"충청남도","섬유 의복 및 가죽 제품 제조업",469060,406680,0.01
"충청남도","목재종이인쇄 및 복제업",925995,769716,0.04
"충청남도","석탄 및 석유 화학제품 제조업",17820393,15570991,0.84
"충청남도","비금속광물 및 금속제품 제조업",10048245,6410724,-0.13
"충청남도","전기 전자 및 정밀기기 제조업",22826846,24700514,-0.44
"충청남도","기계 운송장비 및 기타 제품 제조업",14920782,14007290,-0.06
"충청남도","전기, 가스, 증기 및 공기 조절 공급업",7451628,4101224,0.03
"충청남도","건설업",8352681,7137387,-0.14
"충청남도","서비스업",47796581,43069965,0.74
"충청남도","도매 및 소매업",4866548,4199184,0.01
"충청남도","운수 및 창고업",3669073,3710000,0.22
"충청남도","숙박 및 음식점업",2385838,1792748,-0.07
"충청남도","정보통신업",1175613,1201441,0.00
"충청남도","금융 및 보험업",3256697,2959486,0.05
"충청남도","부동산업",5278474,5090108,0.29
"충청남도","사업서비스업",5167454,4365704,-0.14
"충청남도","전문, 과학 및 기술 서비스업",2436033,1948781,-0.11
"충청남도","사업시설 관리, 사업 지원 및 임대 서비스업",2731421,2421408,-0.03
"충청남도","공공 행정, 국방 및 사회보장 행정",8885614,7773759,0.21
"충청남도","교육 서비스업",5168393,4751002,0.01
"충청남도","보건업 및 사회복지 서비스업",4904944,4581196,0.15
"충청남도","문화 및 기타서비스업",3037933,2701064,0.01
"충청남도","수도, 하수 및 폐기물 처리, 원료 재생업",1057246,1034133,0.02
"충청남도","예술, 스포츠 및 여가관련 서비스",752056,671365,-0.01
"충청남도","협회 및 단체, 수리 및 기타 개인 서비스업",1228631,996428,0.00
"전북특별자치도","지역내총생산(시장가격)",66792381,59321350,1.59
"전북특별자치도","순생산물세",4894534,4147267,0.09
"전북특별자치도","총부가가치(기초가격)",61897847,55195835,1.50
"전북특별자치도","농업, 임업 및 어업",3645506,3328378,0.07
"전북특별자치도","광제조업",14326577,12235203,0.16
"전북특별자치도","광업",90697,67022,-0.02
"전북특별자치도","제조업",14235880,12167425,0.18
"전북특별자치도","음식료품 및 담배제조업",2878534,2614061,0.14
"전북특별자치도","섬유 의복 및 가죽 제품 제조업",217283,186206,0.03
"전북특별자치도","목재종이인쇄 및 복제업",691295,563778,-0.02
"전북특별자치도","석탄 및 석유 화학제품 제조업",2945042,2760982,0.15
"전북특별자치도","비금속광물 및 금속제품 제조업",2787769,1770971,-0.16
"전북특별자치도","전기 전자 및 정밀기기 제조업",871211,885744,0.04
"전북특별자치도","기계 운송장비 및 기타 제품 제조업",3844746,3536822,0.00
"전북특별자치도","전기, 가스, 증기 및 공기 조절 공급업",1599270,2149524,0.12
"전북특별자치도","건설업",4189137,3597965,0.17
"전북특별자치도","서비스업",38137357,34364269,0.98
"전북특별자치도","도매 및 소매업",3440755,2968914,-0.16
"전북특별자치도","운수 및 창고업",2306914,2384601,0.38
"전북특별자치도","숙박 및 음식점업",1815143,1382788,0.00
"전북특별자치도","정보통신업",954380,988701,-0.03
"전북특별자치도","금융 및 보험업",3256640,2937554,0.07
"전북특별자치도","부동산업",3768135,3644870,0.16
"전북특별자치도","사업서비스업",3076915,2592226,0.11
"전북특별자치도","전문, 과학 및 기술 서비스업",1846439,1507106,0.09
"전북특별자치도","사업시설 관리, 사업 지원 및 임대 서비스업",1230476,1084604,0.02
"전북특별자치도","공공 행정, 국방 및 사회보장 행정",7837328,6829427,0.22
"전북특별자치도","교육 서비스업",4328951,3971154,0.05
"전북특별자치도","보건업 및 사회복지 서비스업",4936121,4586628,0.17
"전북특별자치도","문화 및 기타서비스업",2416075,2127160,0.02
"전북특별자치도","수도, 하수 및 폐기물 처리, 원료 재생업",648056,627757,0.02
"전북특별자치도","예술, 스포츠 및 여가관련 서비스",691069,619875,-0.01
"전북특별자치도","협회 및 단체, 수리 및 기타 개인 서비스업",1076950,879503,0.01
"전라남도","지역내총생산(시장가격)",103970897,89183216,3.38
"전라남도","순생산물세",9645098,9568490,0.30
"전라남도","총부가가치(기초가격)",94325799,79535152,3.08
"전라남도","농업, 임업 및 어업",6047414,5430983,0.02
"전라남도","광제조업",32462220,25131143,1.97
"전라남도","광업",135508,100594,-0.03
"전라남도","제조업",32326712,25018062,2.01
"전라남도","음식료품 및 담배제조업",1788642,1611254,0.14
"전라남도","섬유 의복 및 가죽 제품 제조업",101695,87620,0.01
"전라남도","목재종이인쇄 및 복제업",212338,172963,0.02
"전라남도","석탄 및 석유 화학제품 제조업",17142497,14371865,0.88
"전라남도","비금속광물 및 금속제품 제조업",7424702,4742215,0.10
"전라남도","전기 전자 및 정밀기기 제조업",855885,815437,0.07
"전라남도","기계 운송장비 및 기타 제품 제조업",4800953,3814829,0.79
"전라남도","전기, 가스, 증기 및 공기 조절 공급업",5260322,3225365,0.16
"전라남도","건설업",6613508,5647414,0.15
"전라남도","서비스업",43942335,39713152,0.77
"전라남도","도매 및 소매업",3682998,3177937,-0.06
"전라남도","운수 및 창고업",4577719,4517178,0.46
"전라남도","숙박 및 음식점업",1832474,1381661,-0.05
"전라남도","정보통신업",1298080,1300475,-0.07
"전라남도","금융 및 보험업",3017667,2759610,0.01
"전라남도","부동산업",3620875,3605098,0.11
"전라남도","사업서비스업",3640332,3040219,-0.10
"전라남도","전문, 과학 및 기술 서비스업",1943100,1549149,-0.05
"전라남도","사업시설 관리, 사업 지원 및 임대 서비스업",1697232,1492571,-0.05
"전라남도","공공 행정, 국방 및 사회보장 행정",10719708,9345667,0.30
"전라남도","교육 서비스업",4327254,3952484,0.03
"전라남도","보건업 및 사회복지 서비스업",4803309,4466725,0.12
"전라남도","문화 및 기타서비스업",2421919,2140927,0.01
"전라남도","수도, 하수 및 폐기물 처리, 원료 재생업",729012,704489,0.02
"전라남도","예술, 스포츠 및 여가관련 서비스",723186,645744,-0.02
"전라남도","협회 및 단체, 수리 및 기타 개인 서비스업",969721,790493,0.01
"경상북도","지역내총생산(시장가격)",134698401,119349192,0.83
"경상북도","순생산물세",7800021,6270222,-0.05
"경상북도","총부가가치(기초가격)",126898380,113110934,0.88
"경상북도","농업, 임업 및 어업",6538779,5721223,0.17
"경상북도","광제조업",52504315,46079339,-0.09
"경상북도","광업",124649,91560,-0.04
"경상북도","제조업",52379666,45993264,-0.05
"경상북도","음식료품 및 담배제조업",2037056,1926876,0.01
"경상북도","섬유 의복 및 가죽 제품 제조업",1387039,1201228,-0.01
"경상북도","목재종이인쇄 및 복제업",804764,663819,0.01
"경상북도","석탄 및 석유 화학제품 제조업",5601211,5048490,0.01
"경상북도","비금속광물 및 금속제품 제조업",14585224,8930437,0.01
"경상북도","전기 전자 및 정밀기기 제조업",19346716,20830168,0.01
"경상북도","기계 운송장비 및 기타 제품 제조업",8617656,7993065,-0.09
"경상북도","전기, 가스, 증기 및 공기 조절 공급업",4745891,5075540,0.24
"경상북도","건설업",7609582,6506844,-0.06
"경상북도","서비스업",55499813,50096959,0.63
"경상북도","도매 및 소매업",4801830,4143340,-0.04
"경상북도","운수 및 창고업",4522776,4733652,0.38
"경상북도","숙박 및 음식점업",2905967,2231944,-0.04
"경상북도","정보통신업",1443795,1505101,0.00
"경상북도","금융 및 보험업",3946639,3587451,0.05
"경상북도","부동산업",5520101,5380574,0.05
"경상북도","사업서비스업",5961821,4928065,-0.05
"경상북도","전문, 과학 및 기술 서비스업",3743762,2984911,0.02
"경상북도","사업시설 관리, 사업 지원 및 임대 서비스업",2218059,1942627,-0.07
"경상북도","공공 행정, 국방 및 사회보장 행정",11505708,10025159,0.12
"경상북도","교육 서비스업",5615339,5166944,0.01
"경상북도","보건업 및 사회복지 서비스업",5684179,5299167,0.18
"경상북도","문화 및 기타서비스업",3591658,3182272,-0.03
"경상북도","수도, 하수 및 폐기물 처리, 원료 재생업",1240015,1186350,0.00
"경상북도","예술, 스포츠 및 여가관련 서비스",1006485,902025,-0.01
"경상북도","협회 및 단체, 수리 및 기타 개인 서비스업",1345158,1093513,-0.02
"경상남도","지역내총생산(시장가격)",151241350,128829903,3.23
"경상남도","순생산물세",10231187,8540074,0.16
"경상남도","총부가가치(기초가격)",141010163,120345679,3.07
"경상남도","농업, 임업 및 어업",4429674,3909245,0.15
"경상남도","광제조업",58673707,46850422,2.12
"경상남도","광업",84591,62611,-0.01
"경상남도","제조업",58589116,46787222,2.12
"경상남도","음식료품 및 담배제조업",3110610,2952159,0.10
"경상남도","섬유 의복 및 가죽 제품 제조업",406045,353859,-0.01
"경상남도","목재종이인쇄 및 복제업",1017620,839266,0.02
"경상남도","석탄 및 석유 화학제품 제조업",4694881,3993846,0.19
"경상남도","비금속광물 및 금속제품 제조업",13389567,7672327,0.53
"경상남도","전기 전자 및 정밀기기 제조업",7199193,7008981,-0.02
"경상남도","기계 운송장비 및 기타 제품 제조업",28771200,24640366,1.31
"경상남도","전기, 가스, 증기 및 공기 조절 공급업",3958598,2760067,0.22
"경상남도","건설업",6724674,5772579,-0.02
"경상남도","서비스업",67223510,60752259,0.60
"경상남도","도매 및 소매업",6719373,5797927,-0.06
"경상남도","운수 및 창고업",4941309,5254890,0.15
"경상남도","숙박 및 음식점업",3280994,2478354,-0.04
"경상남도","정보통신업",1868895,1914587,-0.05
"경상남도","금융 및 보험업",5109593,4604589,0.07
"경상남도","부동산업",7556390,7238526,-0.03
"경상남도","사업서비스업",6474074,5452359,0.14
"경상남도","전문, 과학 및 기술 서비스업",3682102,2985205,0.09
"경상남도","사업시설 관리, 사업 지원 및 임대 서비스업",2791972,2465605,0.05
"경상남도","공공 행정, 국방 및 사회보장 행정",12152932,10601669,0.28
"경상남도","교육 서비스업",6778739,6210160,0.00
"경상남도","보건업 및 사회복지 서비스업",8003336,7454313,0.15
"경상남도","문화 및 기타서비스업",4337875,3803381,-0.01
"경상남도","수도, 하수 및 폐기물 처리, 원료 재생업",1151029,1095425,-0.01
"경상남도","예술, 스포츠 및 여가관련 서비스",1386709,1242821,-0.02
"경상남도","협회 및 단체, 수리 및 기타 개인 서비스업",1800137,1465443,0.01
"제주특별자치도","지역내총생산(시장가격)",26928491,24229274,0.36
"제주특별자치도","순생산물세",1989444,1739343,0.02
"제주특별자치도","총부가가치(기초가격)",24939047,22495975,0.34
"제주특별자치도","농업, 임업 및 어업",2560208,2190255,-0.36
"제주특별자치도","광제조업",834942,746362,-0.10
"제주특별자치도","광업",21162,15642,-0.02
"제주특별자치도","제조업",813780,731426,-0.09
"제주특별자치도","음식료품 및 담배제조업",333472,313851,0.01
"제주특별자치도","섬유 의복 및 가죽 제품 제조업",8546,7399,0.00
"제주특별자치도","목재종이인쇄 및 복제업",40506,34440,-0.01
"제주특별자치도","석탄 및 석유 화학제품 제조업",87106,84488,0.03
"제주특별자치도","비금속광물 및 금속제품 제조업",136620,95200,-0.10
"제주특별자치도","전기 전자 및 정밀기기 제조업",121589,132590,0.01
"제주특별자치도","기계 운송장비 및 기타 제품 제조업",85941,72732,-0.02
"제주특별자치도","전기, 가스, 증기 및 공기 조절 공급업",251893,407500,0.04
"제주특별자치도","건설업",1368477,1172520,-1.24
"제주특별자치도","서비스업",19923527,17988823,2.01
"제주특별자치도","도매 및 소매업",1978200,1706925,-0.06
"제주특별자치도","운수 및 창고업",1460916,1655939,0.15
"제주특별자치도","숙박 및 음식점업",1975349,1536008,-0.16
"제주특별자치도","정보통신업",909846,832881,0.36
"제주특별자치도","금융 및 보험업",1335071,1214602,0.09
"제주특별자치도","부동산업",2593308,2528912,0.34
"제주특별자치도","사업서비스업",1736030,1465467,0.31
"제주특별자치도","전문, 과학 및 기술 서비스업",574685,475110,-0.07
"제주특별자치도","사업시설 관리, 사업 지원 및 임대 서비스업",1161345,990832,0.39
"제주특별자치도","공공 행정, 국방 및 사회보장 행정",3394039,2963256,0.34
"제주특별자치도","교육 서비스업",1478788,1357235,0.04
"제주특별자치도","보건업 및 사회복지 서비스업",1623328,1515486,0.27
"제주특별자치도","문화 및 기타서비스업",1438652,1246387,0.32
"제주특별자치도","수도, 하수 및 폐기물 처리, 원료 재생업",135002,122283,-0.01
"제주특별자치도","예술, 스포츠 및 여가관련 서비스",903315,802931,0.37
"제주특별자치도","협회 및 단체, 수리 및 기타 개인 서비스업",400335,326050,-0.04
